load61, PC=0, Tile=1
mul63, PC=1, Tile=1
sext64, PC=2, Tile=1
icmp65, PC=3, Tile=1
br66, PC=4, Tile=0
phi0, PC=5, Tile=0
call5, PC=5, Tile=1
load6, PC=6, Tile=0
load9, PC=7, Tile=0
load10, PC=8, Tile=0
load16, PC=9, Tile=0
load62, PC=10, Tile=0
phi1, PC=11, Tile=0
trunc2, PC=12, Tile=0
getelementptr7, PC=7, Tile=1
sub11, PC=13, Tile=0
getelementptr17, PC=10, Tile=1
sub19, PC=9, Tile=1
add24, PC=14, Tile=0
add29, PC=15, Tile=0
sitofp36, PC=9, Tile=4
add40, PC=6, Tile=1
sitofp46, PC=8, Tile=1
add52, PC=6, Tile=6
add57, PC=6, Tile=4
call60, PC=11, Tile=1
sdiv3, PC=13, Tile=4
srem4, PC=16, Tile=1
store8, PC=8, Tile=2
sdiv12, PC=14, Tile=5
sdiv20, PC=10, Tile=4
getelementptr25, PC=15, Tile=4
getelementptr27, PC=16, Tile=4
getelementptr30, PC=16, Tile=6
getelementptr32, PC=16, Tile=5
getelementptr41, PC=8, Tile=6
getelementptr53, PC=7, Tile=2
getelementptr58, PC=11, Tile=4
sdiv13, PC=15, Tile=5
sdiv21, PC=11, Tile=5
store28, PC=17, Tile=5
store31, PC=17, Tile=2
store33, PC=18, Tile=5
sitofp34, PC=19, Tile=5
sub43, PC=17, Tile=4
add48, PC=14, Tile=4
sitofp14, PC=16, Tile=2
sitofp22, PC=12, Tile=2
fadd35, PC=20, Tile=5
sitofp44, PC=19, Tile=4
sext49, PC=21, Tile=5
fsub15, PC=17, Tile=6
fsub23, PC=13, Tile=2
fdiv37, PC=24, Tile=4
fadd45, PC=21, Tile=6
getelementptr50, PC=32, Tile=4
store18, PC=18, Tile=2
store26, PC=19, Tile=6
fmul38, PC=26, Tile=2
fdiv47, PC=22, Tile=2
store54, PC=27, Tile=2
fsub39, PC=33, Tile=2
store51, PC=34, Tile=6
fdiv55, PC=23, Tile=6
store42, PC=36, Tile=6
fsub56, PC=35, Tile=2
store59, PC=36, Tile=5
Achieved DynamicPlacement_II is 12
threshold is 1
