load61, PC=0, Tile=9
mul63, PC=1, Tile=10
sext64, PC=2, Tile=6
icmp65, PC=3, Tile=5
br66, PC=4, Tile=1
phi0, PC=5, Tile=7
call5, PC=5, Tile=5
load6, PC=5, Tile=1
load9, PC=6, Tile=1
load10, PC=7, Tile=1
load16, PC=8, Tile=1
load62, PC=9, Tile=1
phi1, PC=10, Tile=2
trunc2, PC=6, Tile=7
getelementptr7, PC=6, Tile=6
sub11, PC=8, Tile=2
getelementptr17, PC=9, Tile=6
sub19, PC=8, Tile=5
add24, PC=6, Tile=2
add29, PC=7, Tile=7
sitofp36, PC=9, Tile=2
add40, PC=7, Tile=6
sitofp46, PC=7, Tile=5
add52, PC=6, Tile=3
add57, PC=8, Tile=7
call60, PC=6, Tile=5
sdiv3, PC=11, Tile=2
srem4, PC=11, Tile=6
store8, PC=7, Tile=2
sdiv12, PC=10, Tile=5
sdiv20, PC=9, Tile=4
getelementptr25, PC=7, Tile=4
getelementptr27, PC=11, Tile=4
getelementptr30, PC=8, Tile=3
getelementptr32, PC=10, Tile=6
getelementptr41, PC=9, Tile=3
getelementptr53, PC=9, Tile=7
getelementptr58, PC=14, Tile=4
sdiv13, PC=11, Tile=9
sdiv21, PC=10, Tile=9
store28, PC=13, Tile=9
store31, PC=10, Tile=7
store33, PC=14, Tile=9
sitofp34, PC=15, Tile=9
sub43, PC=12, Tile=4
add48, PC=18, Tile=8
sitofp14, PC=16, Tile=4
sitofp22, PC=11, Tile=8
fadd35, PC=16, Tile=10
sitofp44, PC=13, Tile=8
sext49, PC=20, Tile=10
fsub15, PC=18, Tile=12
fsub23, PC=14, Tile=8
fdiv37, PC=19, Tile=0
fadd45, PC=14, Tile=12
getelementptr50, PC=21, Tile=8
store18, PC=22, Tile=8
store26, PC=15, Tile=12
fmul38, PC=20, Tile=0
fdiv47, PC=15, Tile=13
store54, PC=21, Tile=0
fsub39, PC=22, Tile=0
store51, PC=22, Tile=12
fdiv55, PC=17, Tile=3
store42, PC=26, Tile=11
fsub56, PC=23, Tile=0
store59, PC=24, Tile=0
Achieved DynamicPlacement_II is 6
threshold is 6
