load61, PC=0, Tile=5
mul63, PC=1, Tile=5
sext64, PC=2, Tile=5
icmp65, PC=3, Tile=5
br66, PC=4, Tile=4
phi0, PC=5, Tile=4
call5, PC=5, Tile=1
load6, PC=6, Tile=4
load9, PC=7, Tile=4
load10, PC=8, Tile=4
load16, PC=9, Tile=4
load62, PC=10, Tile=4
phi1, PC=11, Tile=8
trunc2, PC=6, Tile=8
getelementptr7, PC=7, Tile=1
sub11, PC=9, Tile=8
getelementptr17, PC=10, Tile=1
sub19, PC=9, Tile=1
add24, PC=7, Tile=8
add29, PC=8, Tile=8
sitofp36, PC=10, Tile=8
add40, PC=6, Tile=1
sitofp46, PC=8, Tile=1
add52, PC=6, Tile=10
add57, PC=12, Tile=8
call60, PC=11, Tile=1
sdiv3, PC=12, Tile=9
srem4, PC=12, Tile=5
store8, PC=8, Tile=0
sdiv12, PC=11, Tile=5
sdiv20, PC=10, Tile=0
getelementptr25, PC=8, Tile=9
getelementptr27, PC=10, Tile=9
getelementptr30, PC=9, Tile=10
getelementptr32, PC=13, Tile=5
getelementptr41, PC=8, Tile=10
getelementptr53, PC=7, Tile=9
getelementptr58, PC=13, Tile=9
sdiv13, PC=12, Tile=10
sdiv21, PC=11, Tile=6
store28, PC=12, Tile=6
store31, PC=11, Tile=9
store33, PC=14, Tile=10
sitofp34, PC=13, Tile=6
sub43, PC=13, Tile=2
add48, PC=16, Tile=9
sitofp14, PC=17, Tile=10
sitofp22, PC=12, Tile=2
fadd35, PC=14, Tile=6
sitofp44, PC=14, Tile=2
sext49, PC=17, Tile=6
fsub15, PC=18, Tile=10
fsub23, PC=15, Tile=2
fdiv37, PC=16, Tile=2
fadd45, PC=15, Tile=3
getelementptr50, PC=18, Tile=3
store18, PC=19, Tile=0
store26, PC=16, Tile=3
fmul38, PC=17, Tile=2
fdiv47, PC=18, Tile=2
store54, PC=18, Tile=0
fsub39, PC=19, Tile=3
store51, PC=20, Tile=3
fdiv55, PC=21, Tile=3
store42, PC=24, Tile=3
fsub56, PC=22, Tile=6
store59, PC=23, Tile=6
Achieved DynamicPlacement_II is 7
threshold is 5
